id,name,address,latitude,longitude
73,MUDVILLE SALOON,126 CHAMBERS STREET Manhattan 10007,40.715316,-74.008788
74,JOHNNY'S REEF RESTAURANT,2 CITY ISLAND AVE The Bronx 10464,40.837737,-73.782895
75,WHITE CASTLE,846 EMPIRE BOULEVARD Brooklyn 11213,40.663635,-73.934944
76,FERDINANDO'S RESTAURANT,151 UNION STREET Brooklyn 11231,40.684074,-74.001878
77,PETE'S TAVERN,129 EAST   18 STREET Manhattan 10003,40.736425,-73.986879
79,JOHN MULLIGAN'S,4272 KATONAH AVENUE The Bronx 10470,40.897713,-73.867205
80,EAR INN,326 SPRING STREET Manhattan 10013,40.726084,-74.009473
83,TONY'S PIZZERIA,336 KNICKERBOCKER AVENUE Brooklyn 11237,40.701183,-73.922536
84,THREE GUY'S RESTAURANT,960 MADISON AVENUE Manhattan 10021,40.774012,-73.963804
85,CUCINA VIVOLO,138140 EAST   74 STREET Manhattan 10021,40.772048,-73.962002
86,DIVERS COVE,2901 FRANCIS LEWIS BOULEVARD Queens 11358,40.770464,-73.793158
87,CAFE ESPANOL,172 BLEECKER STREET Manhattan 10012,40.728842,-74.000525
89,MCDONALD'S,16011 WILLETS POINT BOULEVARD Queens 11357,40.780651,-73.801997
90,PERKINS FAMILY RESTAURANT & BAKERY,1745 FOREST AVENUE Staten Island 10303,40.62498,-74.147064
91,MAMA LUCIA,1701 FOSTER AVENUE Brooklyn 11230,40.634929,-73.961309
92,COLISEUM BAR RESTAURANT,312 WEST   58 STREET Manhattan 10019,40.765455,-73.988867
93,MARIELLA PIZZA,180 3 AVENUE Manhattan 10003,40.735042,-73.985904
95,LA BARAKA RESTAURANT,255-09 NORTHERN BOULEVARD Queens 11362,40.772211,-73.734175
98,LA PALINA RESTAURANT,159 AVENUE O Brooklyn 11204,40.610766,-73.978834
99,B T G. ENTERPRISES,5505 CHURCH AVENUE Brooklyn 11203,40.65246,-73.925385
100,EXCLUSIVE CATERING,275 MARTLING AVE Staten Island 10314,40.621166,-74.122828
101,MCDONALD'S,3660 EAST TREMONT AVENUE The Bronx 10465,40.827663,-73.823346
12910,MONTE RESTAURANT & BAR,2530 BROADWAY Queens 11106,40.761751,-73.9312
12913,GUZAN JAPANESE CUISINE & BAR,1534 3 AVENUE Manhattan 10028,40.778972,-73.953875
12955,BARNES & NOBLE CAFE,2289 BROADWAY Manhattan 10024,40.786115,-73.978422
103,DAZIES RESTAURANT,39-41 QUEENS BOULEVARD Queens 11104,40.74404,-73.924942
106,SHABU-SHABU 70 RESTAURANT,314 EAST   70 STREET Manhattan 10021,40.76952,-73.958839
107,CHEN'S CHINESE,1434 RICHMOND ROAD Staten Island 10304,40.5944,-74.098888
108,RACQUET & TENNIS CLUB,370 PARK AVENUE Manhattan 10022,40.75887,-73.972881
109,CASA PEPE,114 BAYRIDGE AVENUE Brooklyn 11220,40.637499,-74.031729
110,OLYMPIC RESTAURANT,115 DELANCEY STREET Manhattan 10002,40.718417,-73.988125
112,READY PENNY INN,3707 73 STREET Queens 11372,40.748081,-73.89258
113,SHUN LEE,37 WEST 65 STREET Manhattan 10023,40.772653,-73.981283
114,BRIDGEVIEW DINER,9011 THIRD AVENUE Brooklyn 11209,40.620611,-74.032233
115,PRIMAVERA PIZZA & PASTA,1005 2 AVENUE Manhattan 10022,40.758794,-73.967213
116,TONY'S PIER RESTAURANT,1 CITY ISLAND AVE The Bronx 10464,40.837596,-73.78291
117,QUALITY CAFE & RESTAURANT,2942 WESTCHESTER AVENUE The Bronx 10461,40.846992,-73.83228
118,LA MEDITERRANEE RESTAURANT,947 2 AVENUE Manhattan 10022,40.758794,-73.967213
119,EL CARIBE,5945 STRICKLAND AVENUE Brooklyn 11234,40.608302,-73.91487
121,MCDONALD'S,82 COURT STREET Brooklyn 11201,40.691313,-73.991585
150,MEJLANDER & MULGANNON,7615 5 AVENUE Brooklyn 11209,40.628593,-74.023
122,ROSIE O'GRADY RESTAURANT,800 7 AVENUE Manhattan 10019,40.762367,-73.982356
123,DJ REYNOLDS PUB AND RESTAURANT,351 WEST   57 STREET Manhattan 10019,40.765455,-73.988867
124,INTERCONTINENTAL THE BARCLAY,111 EAST   48 STREET Manhattan 10017,40.752313,-73.972589
125,RIVIERA CATERER,2780 STILLWELL AVENUE Brooklyn 11224,40.579577,-73.982008
126,TOV KOSHER KITCHEN,97-22 63 ROAD Queens 11374,40.731525,-73.859741
135,NORDIC DELICACIES,6909 3 AVENUE Brooklyn 11209,40.635518,-74.026134
136,SAL'S DELI,129-08 20 AVENUE Queens 11356,40.781687,-73.839244
137,NATHAN'S FAMOUS,1310 SURF AVENUE Brooklyn 11224,40.575507,-73.981693
138,GLORIOUS FOOD,522 EAST   74 STREET Manhattan 10021,40.767715,-73.951702
139,CARVEL ICE CREAM,265-15     HILLSIDE AVENUE Queens 11004,40.738451,-73.703165
